ticker,date,next_date,close,next_close,market_return,quant_score,technical_signal,technical_position,ppo_action,ppo_position,hybrid_signal,hybrid_score,hybrid_position,technical_turnover,hybrid_turnover,technical_return,hybrid_return,technical_cost,hybrid_cost
RELIANCE,2026-06-11 00:00:00+05:30,2026-06-12 00:00:00+05:30,1263.0,1293.0,0.02375296912114022,39.0,WAIT,0,FLAT,0.0,HOLD,15.600000000000001,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-12 00:00:00+05:30,2026-06-15 00:00:00+05:30,1293.0,1307.0,0.010827532869296164,39.0,WAIT,0,FLAT,0.0,HOLD,15.600000000000001,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-15 00:00:00+05:30,2026-06-16 00:00:00+05:30,1307.0,1328.800048828125,0.0166794558746175,45.0,WAIT,0,FLAT,0.0,HOLD,18.0,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-16 00:00:00+05:30,2026-06-17 00:00:00+05:30,1328.800048828125,1332.699951171875,0.002934905328449755,61.0,WAIT,0,FLAT,0.0,HOLD,24.400000000000002,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-17 00:00:00+05:30,2026-06-18 00:00:00+05:30,1332.699951171875,1328.0999755859375,-0.003451621335989863,62.0,WAIT,0,FLAT,0.0,HOLD,24.8,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-06-18 00:00:00+05:30,2026-06-19 00:00:00+05:30,1328.0999755859375,1309.5,-0.014004951380058195,62.0,WAIT,0,FLAT,0.0,HOLD,24.8,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-06-19 00:00:00+05:30,2026-06-22 00:00:00+05:30,1309.5,1326.5,0.012982054219167649,56.0,WAIT,0,FLAT,0.0,HOLD,22.400000000000002,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-22 00:00:00+05:30,2026-06-23 00:00:00+05:30,1326.5,1309.5,-0.012815680361854542,59.0,WAIT,0,FLAT,0.0,HOLD,23.6,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-06-23 00:00:00+05:30,2026-06-24 00:00:00+05:30,1309.5,1313.5999755859375,0.0031309473737590743,60.5,WAIT,0,FLAT,0.0,HOLD,24.200000000000003,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-24 00:00:00+05:30,2026-06-25 00:00:00+05:30,1313.5999755859375,1318.0999755859375,0.00342570042907675,56.0,WAIT,0,FLAT,0.0,HOLD,22.400000000000002,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-25 00:00:00+05:30,2026-06-26 00:00:00+05:30,1318.0999755859375,1318.0999755859375,0.0,57.0,WAIT,0,FLAT,0.0,HOLD,22.8,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-06-26 00:00:00+05:30,2026-06-29 00:00:00+05:30,1318.0999755859375,1301.0,-0.01297320074551711,57.0,WAIT,0,FLAT,0.0,HOLD,22.8,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-06-29 00:00:00+05:30,2026-06-30 00:00:00+05:30,1301.0,1293.9000244140625,-0.005457321741689114,48.0,WAIT,0,FLAT,0.0,HOLD,19.200000000000003,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-06-30 00:00:00+05:30,2026-07-01 00:00:00+05:30,1293.9000244140625,1308.0,0.010897268196839782,48.0,WAIT,0,FLAT,0.0,HOLD,19.200000000000003,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-07-01 00:00:00+05:30,2026-07-02 00:00:00+05:30,1308.0,1303.5,-0.0034403669724770714,51.0,WAIT,0,FLAT,0.0,HOLD,20.400000000000002,0,0,0,-0.0,-0.0,0.0,0.0
RELIANCE,2026-07-02 00:00:00+05:30,2026-07-03 00:00:00+05:30,1303.5,1304.0,0.0003835826620637306,51.0,WAIT,0,FLAT,0.0,HOLD,20.400000000000002,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-07-03 00:00:00+05:30,2026-07-06 00:00:00+05:30,1304.0,1321.300048828125,0.013266908610525263,51.0,WAIT,0,FLAT,0.0,HOLD,20.400000000000002,0,0,0,0.0,0.0,0.0,0.0
RELIANCE,2026-07-06 00:00:00+05:30,2026-07-07 00:00:00+05:30,1321.300048828125,1308.4000244140625,-0.009763130203093273,60.0,WAIT,0,FLAT,0.0,HOLD,24.0,0,0,0,-0.0,-0.0,0.0,0.0
